,PA15L:NO,ARG:NO,OPERA:NO,RN20:NO,BP_EST:NO,AUB:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,IVRY:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,RN6:NO,AUT:NO,SOULT:NO,OBJECTID
,Paris stade Lenglen,ARGENTEUIL,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,AUBERVILLIERS,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,IVRY-SUR-SEINE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Route Nationale 6 - MELUN,Boulevard Péripherique Auteuil,Boulevard Soult,0
,PA15L,ARG,OPERA,RN20,BP_EST,AUB,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,IVRY,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,AUT,SOULT,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2018/01/01 01:00:00+00,0,,,17,4,1,113,32,0,25,11,0,0,0,3,0,0,1,0,0,3,1,0,1,,0,0,0,0,0,0,0,39,0,0,1,3,9,,3,5
2018/01/01 02:00:00+00,0,,,20,6,0,99,24,0,20,9,0,0,1,82,0,0,1,0,0,2,1,0,2,,0,0,1,0,0,0,0,26,0,0,1,3,12,,3,6
2018/01/01 03:00:00+00,0,,,33,6,1,93,26,0,22,6,0,0,0,23,0,0,1,0,0,3,1,0,2,,0,0,0,0,0,0,1,27,0,0,1,3,12,,4,7
2018/01/01 04:00:00+00,0,,,32,8,1,112,25,0,20,6,0,0,0,21,0,0,1,0,0,3,1,0,2,,0,0,0,0,0,0,0,24,0,0,1,4,9,,3,8
2018/01/01 05:00:00+00,0,,,22,8,0,88,23,0,23,3,1,0,0,13,0,0,1,0,0,3,1,1,2,,0,0,0,0,0,0,1,21,0,0,1,3,6,,3,9
2018/01/01 06:00:00+00,0,,,20,16,1,81,20,0,15,4,0,0,0,14,0,0,1,1,0,3,1,0,2,,0,0,0,0,0,0,1,14,0,0,1,5,6,,7,10
2018/01/01 07:00:00+00,0,,,12,20,1,57,26,0,8,4,0,0,0,10,0,1,1,1,0,3,0,0,2,,0,0,0,0,0,0,1,12,0,0,1,9,9,,7,11
2018/01/01 08:00:00+00,0,,,11,22,1,30,18,0,9,2,0,1,0,10,0,0,1,0,0,3,0,0,2,,2,0,0,0,0,0,0,6,0,0,1,16,8,,2,12
2018/01/01 09:00:00+00,0,,,11,22,1,29,24,0,14,2,0,0,1,10,0,0,1,1,0,3,1,0,2,,1,0,0,0,0,0,1,9,0,0,1,12,5,,3,13
2018/01/01 10:00:00+00,0,,,21,34,1,30,24,0,13,3,0,0,0,16,0,0,1,0,0,3,0,0,2,,1,0,1,0,0,0,0,10,0,0,1,12,9,,2,14
2018/01/01 11:00:00+00,0,,,38,48,0,48,31,0,15,5,0,1,1,26,0,1,1,1,0,5,1,0,2,,1,0,0,0,0,0,0,23,0,1,1,26,10,,3,15
2018/01/01 12:00:00+00,0,,,37,49,0,55,50,0,18,7,1,1,0,24,0,1,1,1,1,8,1,0,3,,1,1,1,0,0,1,0,16,0,0,1,30,9,,4,16
2018/01/01 13:00:00+00,0,,,40,42,2,88,51,0,24,15,1,1,0,39,0,1,2,1,0,5,1,0,3,,3,1,2,0,0,2,1,24,0,0,1,34,8,,6,17
2018/01/01 14:00:00+00,0,,,43,24,2,90,30,1,14,8,2,1,0,32,1,1,2,2,1,4,1,0,4,,3,2,2,0,0,2,2,22,0,1,2,27,21,,7,18
2018/01/01 15:00:00+00,0,,,42,16,1,79,25,0,17,8,1,0,0,39,0,0,1,1,0,3,1,1,2,,1,1,1,0,0,0,1,26,0,0,1,8,24,,6,19
2018/01/01 16:00:00+00,1,,,25,2,1,69,31,0,7,12,0,0,1,28,0,0,1,1,0,3,2,0,2,,2,0,2,0,0,1,1,18,0,0,1,5,25,,3,20
2018/01/01 17:00:00+00,3,,,29,1,1,66,27,0,6,10,0,0,0,41,0,0,1,2,0,5,2,0,2,,4,0,2,0,0,0,1,16,0,0,1,4,21,,5,21
2018/01/01 18:00:00+00,4,,,36,0,0,86,34,0,7,14,0,0,0,40,0,0,1,1,1,4,2,0,2,,4,0,2,0,0,0,1,16,0,0,2,6,22,,5,22
2018/01/01 19:00:00+00,0,,,46,1,0,96,34,0,10,15,0,1,0,38,0,0,1,1,0,4,2,0,2,,5,0,2,0,0,0,1,26,0,0,2,6,17,,5,23
2018/01/01 20:00:00+00,0,,,32,1,1,89,27,0,13,7,0,1,0,29,0,0,1,0,0,3,1,0,2,,3,0,1,0,0,0,0,21,2,0,2,5,17,,3,24
2018/01/01 21:00:00+00,0,,,38,2,0,99,21,0,5,10,0,0,0,23,0,0,1,0,0,2,1,0,2,,3,0,1,0,0,0,0,17,0,0,2,4,20,,3,25
2018/01/01 22:00:00+00,0,,,17,1,0,89,22,0,7,8,0,0,0,25,0,0,1,1,0,3,1,0,2,,3,0,2,0,0,0,0,17,0,0,1,3,17,,2,26
2018/01/01 23:00:00+00,0,,,19,3,0,76,26,0,9,5,1,0,0,20,0,0,1,0,0,2,1,0,2,,2,0,0,0,0,0,0,13,0,0,1,2,13,,2,27
2018/01/02 00:00:00+00,0,,,17,2,0,54,11,0,17,4,0,1,1,13,0,0,1,0,0,2,1,0,2,,0,0,0,0,0,0,0,9,0,0,2,2,10,,2,28
2018/01/02 01:00:00+00,0,,,10,1,0,37,9,0,4,3,0,0,0,13,0,0,1,0,0,2,0,0,2,,0,0,0,0,0,0,0,7,0,0,1,1,6,,2,29
2018/01/02 02:00:00+00,0,,,14,1,0,35,6,0,2,1,0,0,0,9,0,0,1,0,0,2,1,0,2,,0,0,0,0,0,0,0,14,0,0,1,0,4,,2,30
2018/01/02 03:00:00+00,0,,,10,1,0,54,2,0,2,1,0,0,1,9,0,0,1,0,0,3,0,0,2,,0,0,0,0,0,0,0,3,0,0,1,1,5,,2,31
2018/01/02 04:00:00+00,0,,,35,2,0,71,4,0,4,2,0,0,0,6,0,0,1,0,0,3,1,0,2,,0,0,0,0,0,0,1,4,0,0,1,1,6,,2,32
2018/01/02 05:00:00+00,0,,,91,4,0,197,15,0,3,9,0,1,0,8,0,0,1,1,0,4,2,1,3,,0,0,0,0,0,0,0,8,0,0,2,4,34,,3,33
2018/01/02 06:00:00+00,0,,,157,39,1,240,42,1,27,26,4,2,0,33,0,0,1,1,1,8,5,2,4,,1,2,2,0,0,1,1,26,0,1,4,9,47,,16,34
2018/01/02 07:00:00+00,0,,,217,185,4,256,71,1,53,37,10,5,0,72,9,0,2,3,4,9,5,3,5,,11,4,4,0,0,2,6,65,1,3,8,23,111,,30,35
2018/01/02 08:00:00+00,1,,,223,52,8,197,100,2,86,46,10,8,0,66,13,1,2,3,6,15,5,3,8,,13,8,7,0,0,3,11,75,1,4,14,29,97,,32,36
2018/01/02 09:00:00+00,1,,,229,84,11,139,107,5,67,35,12,20,0,77,17,4,5,5,4,12,4,5,8,,8,6,6,0,0,7,11,56,1,7,12,40,106,,40,37
2018/01/02 10:00:00+00,2,,,205,179,15,146,145,11,87,24,9,11,0,77,11,4,8,10,4,9,3,4,9,,,12,6,0,0,9,8,61,1,11,7,89,92,,38,38
2018/01/02 11:00:00+00,2,,,208,200,11,144,147,13,84,54,7,9,1,66,7,2,11,10,4,8,5,4,15,5,20,13,6,0,0,,8,73,1,11,7,110,86,,35,39
2018/01/02 12:00:00+00,2,,,177,154,12,120,110,8,82,23,7,7,1,59,9,3,12,9,5,10,6,,15,4,16,11,9,0,0,,6,62,1,8,8,101,82,,26,40
