,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/01 01:00:00+00,,22.700000,10.500000,16.300000,18.400000,10.300000,15.400000,15.300000,103.200000,121.800000,24.400000,23.400000,9.100000,24.900000,73.700000,3.100000,1.800000,33.700000,14.200000,25,0.300000,82.500000,12.500000,15.800000,66.900000,9.100000,8.400000,11.500000,0.500000,12.900000,0.100000,14.100000,11.300000,22.400000,12.400000,5.100000,48.400000,18.500000,,4.500000,5
2021/01/01 02:00:00+00,,22.500000,11.900000,12.400000,23,25.500000,18.100000,10.500000,97.500000,100.500000,32.200000,23.700000,4.400000,20,69.600000,2.300000,4.400000,20.800000,14.400000,26.400000,4.200000,74.200000,5.900000,17.300000,34.900000,15.600000,5.600000,7.400000,0.500000,13.300000,0.100000,12.400000,10.100000,28.900000,15.600000,5.700000,65.900000,14.500000,,6.800000,6
2021/01/01 03:00:00+00,,47.400000,21.800000,10.400000,28.700000,87.400000,16.900000,15.100000,105.700000,109.900000,27.600000,25.400000,8.900000,20.600000,63.400000,2.300000,5,21.500000,18.600000,21.800000,20.200000,63.500000,3.100000,21.400000,53.400000,13.900000,7.800000,5.100000,3.900000,14.400000,0,5.200000,12.600000,8.500000,13.300000,7.200000,28.100000,18.700000,,7.200000,7
2021/01/01 04:00:00+00,,26.700000,20.300000,7.300000,39.100000,72.100000,15.200000,16.400000,90.300000,111.600000,29.500000,23.800000,11,14.600000,39.900000,4.200000,0.800000,34.100000,27.700000,20.100000,0.400000,43,4.500000,18.200000,35.700000,23.100000,8.600000,4.700000,5.500000,11.100000,0,12.300000,21.200000,7.500000,9.200000,5.100000,41.600000,16.600000,,8.600000,8
2021/01/01 05:00:00+00,,29.700000,15.500000,6,52.700000,106.400000,16.200000,14.800000,96.400000,112.300000,28.100000,18.400000,3.600000,18.100000,16,4.700000,0.600000,17.300000,24.100000,23.300000,0.200000,30,3.400000,13.200000,34,11.100000,13.400000,4.900000,5.900000,12.800000,0.100000,19.300000,21,7.100000,5,4,21.600000,19.600000,,5.500000,9
