date,y,q,k,etat_trafic,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C,bike,day,month,year,weekday
2013-01-01,24.30434782608696,,,,,,,,,,,,,,,,,,,,,,,,,01,01,2013,1
2013-01-02,56.39583333000001,,,,,,,,,,,,,,,,,,,,,,,,,02,01,2013,2
2013-01-03,41.82916666291667,,,,,,,,,,,,,,,,,,,,,,,,,03,01,2013,3
2013-01-04,42.83749999666667,,,,,,,,,,,,,,,,,,,,,,,,,04,01,2013,4
2013-01-05,23.92083333291667,,,,,,,,,,,,,,,,,,,,,,,,,05,01,2013,5
2013-01-06,33.31666666458333,,,,,,,,,,,,,,,,,,,,,,,,,06,01,2013,6
2013-01-07,30.67499999916667,,,,,,,,,,,,,,,,,,,,,,,,,07,01,2013,0
2013-01-08,43.52272727000002,,,,,,,,,,,,,,,,,,,,,,,,,08,01,2013,1
2013-01-09,37.79166666416668,,,,,,,,,,,,,,,,,,,,,,,,,09,01,2013,2
2013-01-10,41.59166666333334,,,,,,,,,,,,,,,,,,,,,,,,,10,01,2013,3
2013-01-11,56.32083332750002,,,,,,,,,,,,,,,,,,,,,,,,,11,01,2013,4
2013-01-12,40.94999999708333,,,,,,,,,,,,,,,,,,,,,,,,,12,01,2013,5
2013-01-13,30.87499999791667,,,,,,,,,,,,,,,,,,,,,,,,,13,01,2013,6
2013-01-14,44.58749999541667,,,,,,,,,,,,,,,,,,,,,,,,,14,01,2013,0
2013-01-15,47.441666662916674,,,,,,,,,,,,,,,,,,,,,,,,,15,01,2013,1
2013-01-16,53.93749999583335,,,,,,,,,,,,,,,,,,,,,,,,,16,01,2013,2
2013-01-17,75.14999999500003,,,,,,,,,,,,,,,,,,,,,,,,,17,01,2013,3
2013-01-18,49.40416666291668,,,,,,,,,,,,,,,,,,,,,,,,,18,01,2013,4
2013-01-19,34.941666663333336,,,,,,,,,,,,,,,,,,,,,,,,,19,01,2013,5
2013-01-20,40.32916666291669,,,,,,,,,,,,,,,,,,,,,,,,,20,01,2013,6
2013-01-21,46.77083332958335,,,,,,,,,,,,,,,,,,,,,,,,,21,01,2013,0
2013-01-22,44.19166666208335,,,,,,,,,,,,,,,,,,,,,,,,,22,01,2013,1
2013-01-23,72.09166666166668,,,,,,,,,,,,,,,,,,,,,,,,,23,01,2013,2
2013-01-24,65.59999999434785,,,,,,,,,,,,,,,,,,,,,,,,,24,01,2013,3
2013-01-25,48.76666666333335,,,,,,,,,,,,,,,,,,,,,,,,,25,01,2013,4
2013-01-26,45.97083333000001,,,,,,,,,,,,,,,,,,,,,,,,,26,01,2013,5
2013-01-27,34.51249999875,,,,,,,,,,,,,,,,,,,,,,,,,27,01,2013,6
2013-01-28,48.62083332958334,,,,,,,,,,,,,,,,,,,,,,,,,28,01,2013,0
2013-01-29,27.55833333166667,,,,,,,,,,,,,,,,,,,,,,,,,29,01,2013,1
2013-01-30,21.643478260869568,,,,,,,,,,,,,,,,,,,,,,,,,30,01,2013,2
2013-01-31,36.629166663333336,,,,,,,,,,,,,,,,,,,,,,,,,31,01,2013,3
2013-02-01,35.804166664166665,,,,,,,,,,,,,,,,,,,,,,,,,01,02,2013,4
2013-02-02,25.55833333125,,,,,,,,,,,,,,,,,,,,,,,,,02,02,2013,5
2013-02-03,33.47083333124999,,,,,,,,,,,,,,,,,,,,,,,,,03,02,2013,6
2013-02-04,29.73749999791667,,,,,,,,,,,,,,,,,,,,,,,,,04,02,2013,0
2013-02-05,24.06956521521739,,,,,,,,,,,,,,,,,,,,,,,,,05,02,2013,1
