date,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
1/1/2014,9,4,31,4,9,9,4.8,96,7.875,1011,77.5,9,7,0,0,2,5.1,17:04:00,8:44:00,5
1/2/2014,10,7,23,9,10,8,4.9,92,9.5,1006,57.125,10,8,4,0,2,8.6,17:05:00,8:44:00,9
1/3/2014,12,7,33,9,12,9,2.4,94,9.875,1011,50,12,9,6,0,4,6.9,17:07:00,8:44:00,8
1/4/2014,11,6,25,6,11,9,1,92,9.875,1011,63.125,11,7,3,0,3,6.9,17:08:00,8:44:00,7
1/5/2014,7,3,18,3,7,7,0.4,93,9,1010,43,7,6,-1,0,3,8.7,17:09:00,8:43:00,4
1/6/2014,12,8,30,9,12,11,1.4,94,7.875,1008,77.625,12,10,5,0,3,5.1,17:10:00,8:43:00,9
1/7/2014,11,7,26,7,10,9,2.4,95,9.25,1015,50.75,11,9,3,0,3,5.1,17:11:00,8:43:00,8
1/8/2014,12,8,15,8,11,10,0.3,96,9.375,1021,53,12,10,6,0,2,8.7,17:12:00,8:43:00,10
1/9/2014,10,6,28,9,10,8,1.7,95,7.125,1017,59.25,10,9,5,0,3,3.3,17:14:00,8:42:00,9
1/10/2014,7,4,10,4,7,5,0.1,96,8,1020,33.625,7,5,1,0,3,6.9,17:15:00,8:42:00,5
1/11/2014,9,4,9,5,9,7,1.6,93,8.875,1025,36.5,9,7,3,0,3,8.7,17:16:00,8:41:00,5
1/12/2014,7,2,18,2,7,5,0,95,10,1025,16.875,7,5,-3,0,2,8.7,17:18:00,8:41:00,3
1/13/2014,9,5,16,7,9,6,2.2,97,9.75,1014,51,9,7,3,0,3,5.1,17:19:00,8:40:00,7
1/14/2014,6,3,19,5,6,4,6,99,8,1013,50.125,6,5,0,0,2,6.9,17:20:00,8:39:00,5
1/15/2014,8,3,25,4,7,8,6.4,93,7.5,1012,95.375,8,7,-2,0,2,3.3,17:22:00,8:39:00,4
1/16/2014,9,6,26,7,9,7,10.4,96,8,1002,84.5,9,7,3,0,2,5.1,17:23:00,8:38:00,7
1/17/2014,9,4,24,4,8,6,0,93,10,1000,30.875,9,5,-1,0,3,8.7,17:25:00,8:37:00,5
1/18/2014,9,3,17,3,9,7,0,92,10,1000,37.375,9,5,-1,0,2,8.7,17:26:00,8:36:00,4
1/19/2014,9,6,11,6,8,6,5.4,97,8.5,1002,91.125,9,6,4,0,2,3.3,17:28:00,8:35:00,6
1/20/2014,7,3,11,4,7,4,0.5,93,9,1012,68.5,7,5,1,0,2,3.4,17:29:00,8:35:00,5
1/21/2014,4,0,13,0,4,2,0,92,10,1015,22,5,3,-1,0,2,8.7,17:31:00,8:34:00,1
1/22/2014,5,0,16,0,4,4,1.5,94,9.25,1013,50.625,5,3,-4,0,2,8.7,17:32:00,8:33:00,0
1/23/2014,8,3,26,4,8,5,2.3,98,6,1017,74.25,8,5,1,0,2,5.2,17:34:00,8:32:00,4
1/24/2014,6,2,10,2,6,4,0.2,98,6.75,1017,64,7,5,2,0,2,5.2,17:35:00,8:31:00,2
1/25/2014,8,3,18,3,4,6,1.4,93,9.75,1019,67.875,8,6,-1,0,1,3.4,17:37:00,8:29:00,3
1/26/2014,9,3,32,3,6,9,2.8,95,9.5,1018,62.25,9,8,1,0,3,3.4,17:39:00,8:28:00,3
1/27/2014,6,2,25,2,6,4,0.2,89,8.875,1001,53.625,6,2,-3,0,2,3.4,17:40:00,8:27:00,3
1/28/2014,6,1,29,2,6,4,3.4,94,8.75,997,81.5,6,4,-4,0,2,3.4,17:42:00,8:26:00,1
1/29/2014,5,2,18,2,5,4,1.8,89,6,999,95.375,5,3,-2,0,1,3.4,17:43:00,8:25:00,3
1/30/2014,7,2,11,3,7,4,1.1,98,3.75,1006,75.75,7,5,2,0,2,3.5,17:45:00,8:23:00,3
1/31/2014,7,1,23,1,7,5,0.4,95,6,1009,43.125,7,2,-2,0,1,8.7,17:47:00,8:22:00,1
2/1/2014,8,4,29,6,8,5,16.9,94,8.75,1006,53.25,8,6,1,0,2,7,17:48:00,8:21:00,6
2/2/2014,8,1,20,1,7,5,0,93,10,1016,22.5,8,3,-3,0,2,8.7,17:50:00,8:19:00,2
2/3/2014,7,2,21,2,7,5,0,94,9,1015,10.625,7,3,-3,0,1,8.7,17:51:00,8:18:00,2
2/4/2014,8,3,24,3,8,5,0,95,10,1008,43,8,4,-1,0,2,8.7,17:53:00,8:17:00,5
2/5/2014,9,4,32,4,8,7,7.8,90,9.125,1000,56.125,9,5,-1,0,2,8.7,17:55:00,8:15:00,4
2/6/2014,9,4,26,4,5,8,11.9,94,9,1005,45.625,9,6,-1,0,3,7,17:56:00,8:14:00,5
2/7/2014,9,6,40,8,9,6,0.7,90,9.875,1004,48.625,9,7,1,0,3,7,17:58:00,8:12:00,9
2/8/2014,9,4,35,6,8,6,14.2,91,8.625,999,75.5,9,6,1,0,2,6.6,18:00:00,8:11:00,7
2/9/2014,8,3,32,3,8,5,0.7,87,9.75,998,45.375,8,4,-2,0,3,9.9,18:01:00,8:09:00,3
2/10/2014,9,4,19,4,7,5,0.9,89,8.875,1002,52.5,9,4,0,0,3,9.9,18:03:00,8:07:00,4
2/11/2014,8,2,28,2,8,4,7.6,95,8.875,1007,57.375,8,4,-2,0,2,8.3,18:04:00,8:06:00,5
2/12/2014,9,1,32,1,8,6,1.6,93,9.125,1011,41.5,9,5,-4,0,2,10,18:06:00,8:04:00,3
2/13/2014,7,3,30,5,7,4,13.3,100,8.25,1006,54.875,7,6,1,0,3,6.7,18:08:00,8:02:00,5
2/14/2014,11,3,25,3,5,11,3.9,96,9,1007,53.25,11,10,-1,0,3,8.3,18:09:00,8:01:00,3
2/15/2014,10,6,29,8,10,7,0.2,93,10,1006,60.5,10,7,3,0,3,8.4,18:11:00,7:59:00,8
2/16/2014,10,3,21,3,9,6,0.7,95,9.75,1013,31.5,10,5,-1,0,3,10.6,18:13:00,7:57:00,4
2/17/2014,10,4,18,4,8,7,0.2,96,10,1013,36.75,10,4,1,0,3,10,18:14:00,7:56:00,4
2/18/2014,10,4,18,4,10,7,0.5,87,9.25,1014,42.875,10,6,0,0,3,10.6,18:16:00,7:54:00,4
2/19/2014,11,5,19,5,11,8,1,97,8.75,1017,63.625,11,7,2,0,3,6.9,18:17:00,7:52:00,5
2/20/2014,11,6,28,7,11,10,6.6,97,9.375,1016,76.125,11,9,3,0,3,5.3,18:19:00,7:50:00,6
2/21/2014,9,4,26,4,9,6,2.7,93,9.625,1013,26.375,9,6,0,0,2,10.7,18:21:00,7:48:00,6
2/22/2014,7,3,17,4,5,5,13.7,100,5.5,1019,70.375,7,6,-1,0,1,6.9,18:22:00,7:47:00,3
2/23/2014,12,3,21,3,11,7,0.1,97,9,1020,47.75,12,6,0,0,2,10,18:24:00,7:45:00,4
2/24/2014,13,4,25,4,11,10,0,93,10,1014,7.25,13,7,0,0,3,10.8,18:26:00,7:43:00,5
2/25/2014,12,6,28,6,11,8,7,93,9.75,1010,53.625,12,7,2,0,3,7,18:27:00,7:41:00,7
2/26/2014,11,3,12,3,11,7,0.4,96,8,1021,27.25,11,5,1,0,3,10.9,18:29:00,7:39:00,5
2/27/2014,7,3,29,3,4,5,11.2,99,9.25,1021,49.25,7,6,-2,0,2,8.5,18:30:00,7:37:00,4
2/28/2014,8,3,23,4,7,5,5.3,100,8.875,1011,64.375,8,5,-1,0,2,8.5,18:32:00,7:35:00,3
3/1/2014,9,2,20,3,8,5,0.8,97,7.25,1003,47.625,9,5,0,0,2,10.1,18:34:00,7:33:00,2
3/2/2014,9,2,22,2,9,6,0,88,10,1006,21.5,9,4,0,0,3,11,18:35:00,7:31:00,2
3/3/2014,9,3,26,3,9,6,7.5,95,6.375,991,68.875,9,5,-2,0,2,8.6,18:37:00,7:29:00,5
3/4/2014,10,2,12,2,9,6,0.3,95,7,1010,36.5,10,4,-1,0,2,11.1,18:38:00,7:27:00,3
3/5/2014,12,4,13,4,12,10,0,91,10,1025,14.875,12,5,2,0,3,11.2,18:40:00,7:25:00,6
3/6/2014,14,4,7,4,13,9,0,88,10,1029,6.75,14,4,2,0,3,11.2,18:41:00,7:23:00,5
3/7/2014,15,5,10,5,14,11,0,88,10,1029,9.875,15,5,3,0,4,11.2,18:43:00,7:21:00,6
3/8/2014,18,6,16,6,15,13,0,84,10,1029,4.125,18,8,4,0,4,11.3,18:45:00,7:19:00,6
3/9/2014,23,7,12,7,19,16,0,90,10,1027,0,25,12,4,0,5,11.3,18:46:00,7:17:00,8
3/10/2014,18,10,22,10,18,14,0,87,10,1025,0.5,18,11,9,0,4,11.3,18:48:00,7:15:00,11
3/11/2014,15,7,21,7,14,11,0.1,95,10,1028,29.625,15,8,4,0,4,11.4,18:49:00,7:13:00,8
3/12/2014,19,8,13,8,15,15,0,85,10,1030,1.5,19,10,6,0,4,11.4,18:51:00,7:11:00,8
3/13/2014,22,9,6,9,20,16,0,87,10,1029,0,24,10,9,0,5,11.4,18:52:00,7:09:00,10
3/14/2014,20,9,7,9,19,17,0,89,10,1029,1.25,20,12,8,0,5,11.5,18:54:00,7:07:00,11
3/15/2014,15,5,18,7,14,11,0,94,9,1029,32.25,15,7,4,0,3,11.5,18:56:00,7:04:00,5
3/16/2014,18,6,17,6,16,12,0,98,6.5,1026,33.875,18,10,3,0,3,11.6,18:57:00,7:02:00,7
3/17/2014,14,5,9,5,13,10,0,95,9,1025,12.25,14,9,3,0,4,11.6,18:59:00,7:00:00,7
3/18/2014,13,5,22,6,13,10,0,94,9,1023,50.875,13,7,5,0,4,8.9,19:00:00,6:58:00,5
3/19/2014,16,6,13,6,14,13,0,97,8.75,1028,44,16,9,3,0,4,10.3,19:02:00,6:56:00,7
3/20/2014,19,6,27,6,17,14,0,90,10,1023,8.125,19,9,4,0,4,11.6,19:03:00,6:54:00,8
3/21/2014,13,9,26,9,13,11,6.5,95,9.375,1013,68.25,13,9,5,0,4,6.3,19:05:00,6:52:00,10
3/22/2014,11,5,24,6,11,8,1.2,95,8.75,1008,44.875,11,5,2,0,3,10.3,19:06:00,6:50:00,6
3/23/2014,10,1,22,1,10,6,1,96,9.875,1013,32.125,10,3,-3,0,3,10.3,19:08:00,6:47:00,3
3/24/2014,12,3,16,5,12,8,0.7,87,9.25,1014,58.375,12,6,4,0,3,9,19:09:00,6:45:00,5
3/25/2014,13,5,19,5,12,9,0.5,89,9.625,1014,59.375,14,7,4,0,2,10.3,19:11:00,6:43:00,5
3/26/2014,12,5,19,5,12,10,0.6,90,9.375,1015,60,12,6,3,0,3,7.7,19:12:00,6:41:00,5
3/27/2014,12,1,9,1,11,7,0.3,90,9.875,1013,44.5,12,2,0,0,3,10.3,19:14:00,6:39:00,3
3/28/2014,15,3,15,3,15,11,0,61,10,1015,19.5,15,3,0,0,4,11.6,19:15:00,6:37:00,5
3/29/2014,19,6,21,6,18,14,0,81,10,1016,15,19,8,3,0,4,11.6,19:17:00,6:35:00,7
3/30/2014,20,9,15,9,20,15,0,76,10,1015,22.375,20,7,8,0,5,11.6,19:18:00,6:33:00,9
3/31/2014,19,10,13,10,19,15,0,81,10,1015,42.375,19,9,9,0,5,10.3,19:20:00,6:31:00,10
4/1/2014,21,10,9,10,20,16,0,90,10,1013,25.125,21,11,10,0,5,11.6,19:21:00,6:28:00,10
4/2/2014,21,10,14,10,20,17,0,90,10,1008,41,24,11,9,0,5,9,19:23:00,6:26:00,11
4/3/2014,20,11,21,11,18,16,1,69,10,1006,56.125,20,11,9,0,5,10.3,19:24:00,6:24:00,13
4/4/2014,17,10,13,10,17,14,0.1,94,9,1013,70.875,17,10,8,0,4,6.5,19:26:00,6:22:00,11
4/5/2014,19,7,12,8,18,15,0,94,7,1018,15.625,19,9,7,0,3,11.6,19:27:00,6:20:00,7
4/6/2014,20,10,18,10,19,17,0.2,98,6.75,1019,53,20,13,9,0,4,9.1,19:29:00,6:18:00,10
4/7/2014,21,11,24,11,21,17,3.3,97,7,1018,49,24,14,9,0,4,10.3,19:30:00,6:16:00,11
4/8/2014,13,6,22,6,13,11,1.3,94,10,1027,44.25,13,9,3,0,3,9.1,19:32:00,6:14:00,7
4/9/2014,17,5,4,5,16,13,0,95,7,1028,16.75,17,7,4,0,3,11.6,19:33:00,6:12:00,5
4/10/2014,21,7,5,8,20,17,0,83,10,1025,5.625,24,10,8,0,5,11.6,19:35:00,6:10:00,7
4/11/2014,18,7,15,7,18,14,0,94,9,1021,13,18,9,5,0,4,11.6,19:36:00,6:08:00,8
4/12/2014,17,7,8,7,17,14,0,90,10,1021,25.75,17,7,6,0,4,11.6,19:38:00,6:06:00,7
4/13/2014,16,6,10,6,16,14,0.1,94,8,1023,33.25,16,8,4,0,4,9.1,19:39:00,6:04:00,6
4/14/2014,16,5,16,6,16,13,0,96,7,1025,14.5,16,6,4,0,3,11.6,19:41:00,6:02:00,5
4/15/2014,14,4,17,4,13,11,0,93,9,1028,8.5,14,5,1,0,4,13.4,19:42:00,6:00:00,4
4/16/2014,16,4,14,4,15,13,0,85,10,1028,8.875,16,4,2,0,4,13.9,19:44:00,5:58:00,4
4/17/2014,19,5,10,6,19,15,0,75,10,1025,26.125,24,7,4,0,4,13.9,19:45:00,5:56:00,5
4/18/2014,13,7,18,8,13,11,0.2,93,9.875,1017,44.25,13,8,6,0,3,13.3,19:47:00,5:54:00,10
4/19/2014,14,3,18,3,14,11,0.7,92,9.375,1016,41.125,14,7,0,0,4,12.2,19:48:00,5:53:00,3
4/20/2014,17,8,15,8,16,14,1,93,8.875,1008,52.5,17,8,7,0,3,14,19:50:00,5:51:00,9
